parameters,count,mean,std,min,25%,50%,75%,max
theta.1,4000.0,0.2103074165268017,0.4517235821248522,-1.3253290547261933,-0.09283045130034348,0.2077306796969134,0.5009966289884858,2.008085865900706
theta.2,4000.0,0.19987472332442843,0.4383102526979017,-1.219204681159849,-0.10719281585732995,0.19833098740660476,0.4870132805852746,1.7171850883817392
theta.3,4000.0,-0.3504091425754518,0.4237255054594085,-1.7050994319712556,-0.6393264769966291,-0.3571701620520995,-0.0664829312657212,1.1170414928884214
theta.4,4000.0,1.1365698934893966,0.4937555394385323,-0.5959784992810823,0.7919019108859747,1.1239752647749413,1.4681774474030318,3.156744420514168
theta.5,4000.0,0.6456709926568179,0.4585169012611371,-0.8409230375327329,0.3457780603788536,0.6426427223764692,0.9575243238290929,2.264281000806635
theta.6,4000.0,-0.8636495699588038,0.4316689225141597,-2.2795056526218236,-1.1605603798946862,-0.8666770599660099,-0.5803719313792739,0.7043994844351181
theta.7,4000.0,0.4364995670848868,0.4345996388765305,-1.2232527597504654,0.14357522347643084,0.4277464581787801,0.7224197058164648,2.288326948671438
theta.8,4000.0,0.9635969612975384,0.48380373567441304,-0.7976963571599037,0.6406514069031707,0.9639018176682023,1.2858568739638445,2.744134765542688
theta.9,4000.0,0.18346650066758383,0.4593132526244076,-1.3838464967323485,-0.11633214699751798,0.17520856608498653,0.48694525146408396,1.7108321259302544
theta.10,4000.0,-0.0914538122718626,0.4675796456171709,-1.7940073461615773,-0.403331952539183,-0.09454774978700559,0.22273397464339867,1.840625690068985
theta.11,4000.0,2.0345593623736216,0.5121103789686573,0.22183766664455884,1.6940303802335142,2.041170091323811,2.36777286373614,4.000387786761912
theta.12,4000.0,0.26236886874908133,0.4478789040955371,-1.3590649036478692,-0.028263552637870865,0.2620266956284856,0.5598141061471612,1.9799119964052057
theta.13,4000.0,-0.929815221420356,0.44779689556467955,-2.5577392907975924,-1.2285748053508088,-0.9400707199692102,-0.633854903166017,1.0519202068085414
theta.14,4000.0,-1.0656358816350693,0.45681874313117293,-2.4759278488184266,-1.3792396419555826,-1.0715935036243829,-0.7645853882742342,0.8133855518174546
theta.15,4000.0,0.7792372463530417,0.454381156386007,-0.7111629551983664,0.47943755716815484,0.7766867368055674,1.079593617741663,2.7072451818958347
theta.16,4000.0,0.03630455882248391,0.4292732902905383,-1.5010917259104872,-0.25535368882534537,0.04614888817602003,0.3273937674150487,1.648758553195514
theta.17,4000.0,0.4637620479345761,0.4454334125724643,-1.1094338178304457,0.1571157277601988,0.45218317593833607,0.7629292674552505,1.977161265138165
theta.18,4000.0,0.8035180949442305,0.4389478843765652,-0.7246253058251453,0.5019242424346777,0.7999471502324549,1.0934040247145902,2.3597160379712108
theta.19,4000.0,0.17607900682331395,0.4555772258598003,-1.6215248776419804,-0.1299174175182871,0.18004514874347544,0.4833580982922474,2.0211045631214093
theta.20,4000.0,0.6882762010128911,0.4639621774858524,-0.9498879925954181,0.3711624475674637,0.6906830173947949,0.9997115772360181,2.498161224510247
theta.21,4000.0,0.38231338628547656,0.46489723068576905,-1.5621290153725822,0.06304491658336997,0.3879198160027358,0.6964031077087725,1.9950080949919458
theta.22,4000.0,0.7518444877818274,0.4879247951210898,-0.9647802343451523,0.4224534592117135,0.75674479582691,1.0743342030720944,2.63531098938963
theta.23,4000.0,-0.265120041587092,0.4394072169862723,-1.7253800431949575,-0.5643308019796451,-0.27096333288293495,0.029531807517331466,1.5197739200560783
theta.24,4000.0,-1.9994923139518457,0.43130433947082575,-4.060424391441156,-2.288023785785657,-1.9868075045996485,-1.7095475861928655,-0.4743963908476324
theta.25,4000.0,-0.004887734185485465,0.4470290286961215,-1.7479105003749766,-0.3146796997208875,-0.007741525663264739,0.2990264644062759,1.5683746084427397
theta.26,4000.0,-0.1315939593697468,0.43029070059590124,-1.5351862435137424,-0.42676099588765626,-0.13322114527927248,0.1591225117526776,1.4572303691796586
theta.27,4000.0,-0.6693419042133544,0.4285332644010628,-2.0722922521587237,-0.9423958255719984,-0.6813677202707407,-0.39652567608409056,0.8854774428233146
theta.28,4000.0,-2.1352948316033387,0.4356541313772161,-3.899228371937607,-2.4232078840196376,-2.1253239969529627,-1.839224340017371,-0.5918511016084683
theta.29,4000.0,0.2700065641451593,0.4538533094704453,-1.263880084863852,-0.03568182747068123,0.2634820613034557,0.5641014611167788,2.015354985288982
theta.30,4000.0,-0.004066452369199494,0.4948095772736818,-1.7641386657383982,-0.3486177006151322,-0.0022337553397437857,0.3428990536632042,1.8431401400629897
theta.31,4000.0,0.47977048387092947,0.47148514689795007,-1.2516435074110575,0.15618592026567946,0.4781559016821206,0.7952754676099549,2.2666822732162895
theta.32,4000.0,0.2689677661202902,0.4470272850459512,-1.3581323854136795,-0.02577528087452784,0.2582750677594452,0.5644073907054461,1.8586456183896227
theta.33,4000.0,0.19508654899345662,0.47095984421159565,-1.3304114403918426,-0.12376574068657695,0.18463795077633077,0.506761465260031,1.77889201981728
theta.34,4000.0,0.14678992187648818,0.4272022452460453,-1.328209852423251,-0.14031827925884194,0.14437040750139074,0.438463567781729,1.594216377868736
theta.35,4000.0,-0.9686460478401345,0.419432989455547,-2.5229453580933336,-1.242812026708247,-0.977373670129896,-0.6907017606078997,0.7999478746226846
theta.36,4000.0,-0.4044159126099619,0.3944003699441027,-1.6447157393076632,-0.6775785165543008,-0.40906089021650605,-0.14217143020749012,0.9247406584358958
theta.37,4000.0,0.023498106824866943,0.432522093600275,-1.4292535225651544,-0.2730749382050137,0.024806791261710766,0.31814001746579756,1.562311061529731
theta.38,4000.0,-0.1260874571004034,0.43595911467021214,-1.7953732977338632,-0.4260558584095174,-0.13205610935952725,0.1697089664674163,1.4858431971284212
